Dataset,Model,Condition,Accuracy_Mean,Balanced_Accuracy_Mean,Precision_Mean,Recall_DR_Mean,Specificity_Mean,F1_Mean,F2_Mean,AUROC_Mean,AUPRC_Mean,MCC_Mean,Cohen_Kappa_Mean,FPR_FAR_Mean,FNR_MissRate_Mean,NPV_Mean,Brier_Mean,ECE_Mean,TP_Mean,TN_Mean,FP_Mean,FN_Mean,Threshold_Mean,Accuracy_Std,Balanced_Accuracy_Std,Precision_Std,Recall_DR_Std,Specificity_Std,F1_Std,F2_Std,AUROC_Std,AUPRC_Std,MCC_Std,Cohen_Kappa_Std,FPR_FAR_Std,FNR_MissRate_Std,NPV_Std,Brier_Std,ECE_Std,TP_Std,TN_Std,FP_Std,FN_Std,Threshold_Std,Runs
SWaT,DT-RAVLA-Supervised,Bias_10pct,0.9682691240146554,0.5790868924889543,1.0,0.15817378497790868,1.0,0.2389498281187977,0.18266485834894947,0.6186643475852482,0.4800516979436039,0.3177034926876083,0.23417233710340374,0.0,0.8418262150220913,0.9681170960556698,0.2580951587661064,0.32611869155325474,214.8,34670.0,0.0,1143.2,0.9996977476596832,0.006980734114047507,0.09260010628162758,0.0,0.18520021256325517,0.0,0.2674143515840763,0.21137693128586477,0.1328253830780716,0.05100622790546737,0.25788792345984646,0.2629195669132498,0.0,0.18520021256325517,0.006814985702701843,0.2450690405678135,0.29370092371952583,251.5018886609005,0.0,0.0,251.50188866090053,0.00027594987555800576,5
SWaT,DT-RAVLA-Supervised,Clean,0.9762962140557343,0.6855670103092784,1.0,0.3711340206185567,1.0,0.541130202925907,0.4244592142591575,0.6016523794939281,0.4635774834145329,0.6016884125577109,0.5315883734061135,0.0,0.6288659793814434,0.9759603265749158,0.13147693018658316,0.18156691985698287,504.0,34670.0,0.0,854.0,0.9996977476596832,0.0007163033141203609,0.009501832032815828,0.0,0.019003664065631715,0.0,0.02012851485760197,0.019864029341037818,0.037792800391582046,0.015500965939205231,0.015569025253139225,0.020189923396292622,0.0,0.019003664065631767,0.0007091710242244784,0.04567026407180519,0.06664115376212797,25.806975801127884,0.0,0.0,25.806975801127884,0.00027594987555800576,5
SWaT,DT-RAVLA-Supervised,Frozen_10pct,0.9764127900521817,0.6871134020618557,1.0,0.37422680412371134,1.0,0.5443254885273798,0.42766659379359345,0.6053063918885108,0.4641827537310855,0.6041686445737263,0.5347978227089537,0.0,0.6257731958762887,0.976075895077571,0.13624176521603437,0.18648750749349466,508.2,34670.0,0.0,849.8,0.9996977476596832,0.0008490400184648936,0.011262597122700415,0.0,0.022525194245400903,0.0,0.02369230864194366,0.0234927799839997,0.0414957479114211,0.013078318599955258,0.018342739026399067,0.023773755951941807,0.0,0.022525194245400927,0.0008409000575296056,0.04195634923939298,0.06221638997885721,30.589213785254433,0.0,0.0,30.589213785254437,0.00027594987555800576,5
SWaT,DT-RAVLA-Supervised,Gaussian_10pct,0.9762518041523259,0.6849779086892489,1.0,0.3699558173784978,1.0,0.5398639114578899,0.4232220478408409,0.5919606001122301,0.46215402764823094,0.6007104793445122,0.530319266395539,0.0,0.6300441826215023,0.9759163922168316,0.10500360041135434,0.146630150789972,502.4,34670.0,0.0,855.6,0.9996977476596832,0.0007342548350145049,0.009739960675958219,0.0,0.0194799213519165,0.0,0.02065789731062797,0.020369509247932138,0.03971170471270748,0.013990069366803621,0.015976330860420235,0.02071950262923997,0.0,0.01947992135191655,0.0007268982846274146,0.02723888481485981,0.042070043283060736,26.453733195902615,0.0,0.0,26.453733195902615,0.00027594987555800576,5
SWaT,DT-RAVLA-Supervised,Gaussian_5pct,0.9762795603419562,0.6853460972017673,1.0,0.3706921944035346,1.0,0.5406723060594771,0.42400052807532235,0.5980596667166506,0.46307308419148285,0.6013332452204586,0.5311285175480787,0.0,0.6293078055964655,0.9759438198611516,0.12143663429903642,0.16883032245817886,503.4,34670.0,0.0,854.6,0.9996977476596832,0.0006960110144846094,0.00923265273558611,0.0,0.018465305471172287,0.0,0.019569241193327296,0.019304701828335203,0.0389165543268484,0.015869930043277303,0.015135362574478717,0.019628330610056078,0.0,0.018465305471172335,0.0006890604199972203,0.03723729985597703,0.05650992284777166,25.075884829851965,0.0,0.0,25.075884829851965,0.00027594987555800576,5
SWaT,DT-RAVLA-Supervised,Missing_10pct,0.9623848118130344,0.5010309278350515,0.8,0.002061855670103093,1.0,0.004106880141576597,0.0025746795276111803,0.567890236282084,0.31032950489631245,0.037135503099035336,0.003953295096206499,0.0,0.9979381443298969,0.9623818939886055,0.16532322524974463,0.21458097300512363,2.8,34670.0,0.0,1355.2,0.9996977476596832,8.644616133229867e-05,0.0011467166054784522,0.4472135954999579,0.0022934332109569126,0.0,0.0045583488168039555,0.002862315146819407,0.062317148807077706,0.16580914102679897,0.02750908120395942,0.004388588513963656,0.0,0.0022934332109569044,8.320737326757308e-05,0.03531059976975595,0.059325468012455716,3.1144823004794877,0.0,0.0,3.114482300479463,0.00027594987555800576,5
SWaT,DT-RAVLA-Supervised,Missing_20pct,0.9623070944820695,0.5,0.0,0.0,1.0,0.0,0.0,0.5095861272260697,0.22684429322523547,0.0,0.0,0.0,1.0,0.9623070944820695,0.19614728375211826,0.24828279206388842,0.0,34670.0,0.0,1358.0,0.9996977476596832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10144548590900218,0.15848495119621206,0.0,0.0,0.0,0.0,0.0,0.054948381911365085,0.07599974101163204,0.0,0.0,0.0,0.0,0.00027594987555800576,5
SWaT,DT-RAVLA-Supervised,Temporal_Jitter,0.9762962140557343,0.6855670103092784,1.0,0.3711340206185567,1.0,0.541130202925907,0.4244592142591575,0.601652377369968,0.46357748393694836,0.6016884125577109,0.5315883734061135,0.0,0.6288659793814434,0.9759603265749158,0.13147693016333936,0.1815669198142579,504.0,34670.0,0.0,854.0,0.9996977476596832,0.0007163033141203609,0.009501832032815828,0.0,0.019003664065631715,0.0,0.02012851485760197,0.019864029341037818,0.03779280517361549,0.015500966719532466,0.015569025253139225,0.020189923396292622,0.0,0.019003664065631767,0.0007091710242244784,0.04567026415270414,0.066641153819961,25.806975801127884,0.0,0.0,25.806975801127884,0.00027594987555800576,5
